vocals,instrumental,score,CLAP,normalized_score,normalized_CLAP,MERT,normalized_MERT
Home Blitz - Secret Wave,Grand Mal - Children of Light,52.00448989868164,0.27073842,0.3090081026616274,-0.2661934,0.5074378,0.892784
Home Blitz - Secret Wave,Home Blitz - Secret Wave,53.14250183105469,0.99999994,0.6838224622074263,2.1973507,-0.8129451,-1.4138802
Home Blitz - Secret Wave,Josh Woodward - Cien Volando,52.26325225830078,0.37963393,0.3942337890856382,0.10167035,-0.8307208,-1.4449338
Home Blitz - Secret Wave,Los Steaks - Sunday Girls,53.79254341125488,0.79969,0.8979194427661565,1.5206765,-0.7925932,-1.378326
Home Blitz - Secret Wave,Mia Doi Todd - I gave you my home,51.914649963378906,0.39650345,0.27941852029062986,0.15865785,0.67773896,1.1902943
Home Blitz - Secret Wave,Orange Peels - Grey Holiday,51.88193702697754,-0.097835876,0.2686442235039758,-1.5112872,-0.9305016,-1.6192474
Home Blitz - Secret Wave,Poland - Lying Machine,52.65811538696289,0.2813447,0.5242854752477685,-0.23036392,-0.9215613,-1.603629
Home Blitz - Secret Wave,Shearer - Itch,52.20285034179688,0.60498565,0.37433988023835696,0.86293894,-0.5497296,-0.9540517
Home Blitz - Secret Wave,Short Hand - Certain Strangers,53.60972785949707,0.30140042,0.8377075135254581,-0.16261302,-0.13946453,-0.23733252
Home Blitz - Secret Wave,The Cute Lepers - Young Hearts,51.24964141845703,-0.1518813,0.06039203667756609,-1.6938599,0.93366396,1.6373866
Home Blitz - Secret Wave,The Embarrassment - Patio Set,51.19732284545898,0.25520384,0.04316044896501517,-0.31867132,-0.65332085,-1.135022
Home Blitz - Secret Wave,The J Arthur Keenes Band - The Boring World of Niels Bohr,51.26737594604492,-0.03222326,0.0662330611963877,-1.2896389,-0.6060754,-1.0524858
Home Blitz - Secret Wave,The Oranges Band - Ride the Nuclear Wave,51.51648139953613,0.30463827,0.14827815962956242,-0.15167515,0.9167761,1.607884
Home Blitz - Secret Wave,Wann - Happy Birthday,53.75798606872559,0.8758752,0.8865376744039294,1.7780404,0.75858134,1.3315232
Home Blitz - Secret Wave,ZOELEELA - Jewel,51.80030822753906,0.28905463,0.24175905181845112,-0.20431878,0.06715718,0.123628594
Josh Woodward - Cien Volando,Bam Bam - Hi-Q,50.68613052368164,0.5754385,-0.12520529241360337,0.76312464,-0.5129043,-0.88971907
Josh Woodward - Cien Volando,Benji Cossa - New Flowers (Fast 4-track Version),51.25904846191406,0.3617301,0.06349033017367581,0.041188776,0.69745904,1.2247446
